storage,scenario,timepoint,SOC_MWh
cats_3,climate_1,2035-01-01T01:00:00.000000-0800,6350.911740064753
cats_4,climate_1,2035-01-01T01:00:00.000000-0800,-2.624057182442538e-16
cats_5,climate_1,2035-01-01T01:00:00.000000-0800,34.76139130434784
cats_6,climate_1,2035-01-01T01:00:00.000000-0800,34.761391304347846
cats_7,climate_1,2035-01-01T01:00:00.000000-0800,34.76139130434783
cats_8,climate_1,2035-01-01T01:00:00.000000-0800,34.761391304347825
cats_9,climate_1,2035-01-01T01:00:00.000000-0800,34.761391304347825
cats_10,climate_1,2035-01-01T01:00:00.000000-0800,34.761391304347846
cats_11,climate_1,2035-01-01T01:00:00.000000-0800,146.28
cats_12,climate_1,2035-01-01T01:00:00.000000-0800,146.28000000000003
cats_13,climate_1,2035-01-01T01:00:00.000000-0800,146.28000000000003
cats_14,climate_1,2035-01-01T01:00:00.000000-0800,146.28000000000003
cats_15,climate_1,2035-01-01T01:00:00.000000-0800,146.28000000000003
cats_16,climate_1,2035-01-01T01:00:00.000000-0800,150.35840096019524
cats_17,climate_1,2035-01-01T01:00:00.000000-0800,146.28000000000003
cats_18,climate_1,2035-01-01T01:00:00.000000-0800,146.28000000000003
cats_19,climate_1,2035-01-01T01:00:00.000000-0800,-3.37890705853082e-16
cats_20,climate_1,2035-01-01T01:00:00.000000-0800,8.306921135999743e-16
cats_21,climate_1,2035-01-01T01:00:00.000000-0800,504.0
cats_22,climate_1,2035-01-01T01:00:00.000000-0800,504.0
cats_23,climate_1,2035-01-01T01:00:00.000000-0800,124.68594313010033
cats_24,climate_1,2035-01-01T01:00:00.000000-0800,31.999999999999996
cats_25,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_26,climate_1,2035-01-01T01:00:00.000000-0800,3.0814879110195774e-33
cats_27,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_28,climate_1,2035-01-01T01:00:00.000000-0800,7.496241583200558e-18
cats_29,climate_1,2035-01-01T01:00:00.000000-0800,7.717394673061299e-16
cats_30,climate_1,2035-01-01T01:00:00.000000-0800,-2.0229461050840856e-16
cats_31,climate_1,2035-01-01T01:00:00.000000-0800,-1.735330428023074e-16
cats_32,climate_1,2035-01-01T01:00:00.000000-0800,3.4512664603419266e-31
cats_33,climate_1,2035-01-01T01:00:00.000000-0800,4.067300127205913e-18
cats_34,climate_1,2035-01-01T01:00:00.000000-0800,-3.6560800739692586e-16
cats_35,climate_1,2035-01-01T01:00:00.000000-0800,47.565217391304365
cats_36,climate_1,2035-01-01T01:00:00.000000-0800,49.009765651230005
cats_37,climate_1,2035-01-01T01:00:00.000000-0800,413.6
cats_38,climate_1,2035-01-01T01:00:00.000000-0800,232.72173913043477
cats_39,climate_1,2035-01-01T01:00:00.000000-0800,-1.3726637822401581e-15
cats_40,climate_1,2035-01-01T01:00:00.000000-0800,-1.396908207766071e-17
cats_41,climate_1,2035-01-01T01:00:00.000000-0800,2.645038448336222e-24
cats_42,climate_1,2035-01-01T01:00:00.000000-0800,-6.303593236623195e-24
cats_43,climate_1,2035-01-01T01:00:00.000000-0800,0.9130434782608696
cats_44,climate_1,2035-01-01T01:00:00.000000-0800,3.0092671866001537e-17
cats_45,climate_1,2035-01-01T01:00:00.000000-0800,2.6402056670585944e-17
cats_46,climate_1,2035-01-01T01:00:00.000000-0800,0.24000000000000019
cats_47,climate_1,2035-01-01T01:00:00.000000-0800,2.08
cats_48,climate_1,2035-01-01T01:00:00.000000-0800,-4.363095224261536e-17
cats_49,climate_1,2035-01-01T01:00:00.000000-0800,30.0
cats_50,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_51,climate_1,2035-01-01T01:00:00.000000-0800,-4.0874236614246305e-17
cats_52,climate_1,2035-01-01T01:00:00.000000-0800,40.0
cats_53,climate_1,2035-01-01T01:00:00.000000-0800,40.0
cats_54,climate_1,2035-01-01T01:00:00.000000-0800,7.481937314303801e-17
cats_55,climate_1,2035-01-01T01:00:00.000000-0800,2.4031277625670162e-17
cats_56,climate_1,2035-01-01T01:00:00.000000-0800,3.981913043478263
cats_57,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_58,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_59,climate_1,2035-01-01T01:00:00.000000-0800,8.0
cats_60,climate_1,2035-01-01T01:00:00.000000-0800,182.60869565217396
cats_61,climate_1,2035-01-01T01:00:00.000000-0800,8.304513243997317e-16
cats_62,climate_1,2035-01-01T01:00:00.000000-0800,-8.912841983501311e-17
cats_63,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_64,climate_1,2035-01-01T01:00:00.000000-0800,3.2200000000000006
cats_65,climate_1,2035-01-01T01:00:00.000000-0800,5.58
cats_66,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_67,climate_1,2035-01-01T01:00:00.000000-0800,2.800094533544121e-17
cats_68,climate_1,2035-01-01T01:00:00.000000-0800,16.764
cats_69,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_70,climate_1,2035-01-01T01:00:00.000000-0800,6.617444900424222e-24
cats_71,climate_1,2035-01-01T01:00:00.000000-0800,0.9
cats_72,climate_1,2035-01-01T01:00:00.000000-0800,-2.870775272138958e-14
cats_73,climate_1,2035-01-01T01:00:00.000000-0800,1.0
cats_74,climate_1,2035-01-01T01:00:00.000000-0800,3.7
cats_75,climate_1,2035-01-01T01:00:00.000000-0800,36.0
cats_76,climate_1,2035-01-01T01:00:00.000000-0800,24.0
cats_77,climate_1,2035-01-01T01:00:00.000000-0800,532.4699379076204
cats_78,climate_1,2035-01-01T01:00:00.000000-0800,-7.656730503903606e-17
cats_79,climate_1,2035-01-01T01:00:00.000000-0800,-6.624534989036624e-16
cats_80,climate_1,2035-01-01T01:00:00.000000-0800,4.060647494124044e-17
cats_81,climate_1,2035-01-01T01:00:00.000000-0800,1.7949202231011814e-17
cats_82,climate_1,2035-01-01T01:00:00.000000-0800,30.799999999999997
cats_83,climate_1,2035-01-01T01:00:00.000000-0800,30.8
cats_84,climate_1,2035-01-01T01:00:00.000000-0800,0.92
cats_85,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_86,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_87,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_88,climate_1,2035-01-01T01:00:00.000000-0800,4.5578578193957884e-18
cats_89,climate_1,2035-01-01T01:00:00.000000-0800,1.2989250246144696e-18
cats_90,climate_1,2035-01-01T01:00:00.000000-0800,-4.263791802910737e-18
cats_91,climate_1,2035-01-01T01:00:00.000000-0800,5.196
cats_92,climate_1,2035-01-01T01:00:00.000000-0800,15.0
cats_93,climate_1,2035-01-01T01:00:00.000000-0800,-1.6869929928419677e-18
cats_94,climate_1,2035-01-01T01:00:00.000000-0800,9.32
cats_95,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_96,climate_1,2035-01-01T01:00:00.000000-0800,8.6
cats_97,climate_1,2035-01-01T01:00:00.000000-0800,32.6
cats_98,climate_1,2035-01-01T01:00:00.000000-0800,5.0754648103116345e-17
cats_99,climate_1,2035-01-01T01:00:00.000000-0800,124.0
cats_100,climate_1,2035-01-01T01:00:00.000000-0800,2.4430387639015567e-15
cats_101,climate_1,2035-01-01T01:00:00.000000-0800,1.2006924655113208e-15
cats_102,climate_1,2035-01-01T01:00:00.000000-0800,9.536127571230918e-16
cats_103,climate_1,2035-01-01T01:00:00.000000-0800,1.3251237339758067e-15
cats_104,climate_1,2035-01-01T01:00:00.000000-0800,6.701792993441224e-17
cats_105,climate_1,2035-01-01T01:00:00.000000-0800,4.278439340501061e-15
cats_106,climate_1,2035-01-01T01:00:00.000000-0800,-2.309265924099399e-17
cats_107,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_108,climate_1,2035-01-01T01:00:00.000000-0800,242.0
cats_109,climate_1,2035-01-01T01:00:00.000000-0800,-4.486916977201282e-16
cats_110,climate_1,2035-01-01T01:00:00.000000-0800,7.181218072338415e-17
cats_111,climate_1,2035-01-01T01:00:00.000000-0800,1.863243541872602e-15
cats_112,climate_1,2035-01-01T01:00:00.000000-0800,-2.0033818261217298e-17
cats_113,climate_1,2035-01-01T01:00:00.000000-0800,2.568436637687431e-16
cats_114,climate_1,2035-01-01T01:00:00.000000-0800,1.0
cats_115,climate_1,2035-01-01T01:00:00.000000-0800,1.357755675622447e-16
cats_116,climate_1,2035-01-01T01:00:00.000000-0800,40.0
cats_117,climate_1,2035-01-01T01:00:00.000000-0800,-2.7532531988282155e-16
cats_118,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_119,climate_1,2035-01-01T01:00:00.000000-0800,1.4207516132969094e-16
cats_120,climate_1,2035-01-01T01:00:00.000000-0800,9.935239073501426e-16
cats_121,climate_1,2035-01-01T01:00:00.000000-0800,1.1307165632675007e-15
cats_122,climate_1,2035-01-01T01:00:00.000000-0800,-1.6959456028601376e-15
cats_123,climate_1,2035-01-01T01:00:00.000000-0800,4.645223973949149e-17
cats_124,climate_1,2035-01-01T01:00:00.000000-0800,1.975757289029859e-18
cats_125,climate_1,2035-01-01T01:00:00.000000-0800,2.975176578089402e-30
cats_126,climate_1,2035-01-01T01:00:00.000000-0800,-1.5089306311461673e-17
cats_127,climate_1,2035-01-01T01:00:00.000000-0800,9.944187943501943e-16
cats_128,climate_1,2035-01-01T01:00:00.000000-0800,-5.094298612222327e-15
cats_129,climate_1,2035-01-01T01:00:00.000000-0800,80.0
cats_130,climate_1,2035-01-01T01:00:00.000000-0800,-6.617444900424222e-24
cats_131,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_132,climate_1,2035-01-01T01:00:00.000000-0800,5.296220983129994e-16
cats_133,climate_1,2035-01-01T01:00:00.000000-0800,-2.420524988145879e-16
cats_134,climate_1,2035-01-01T01:00:00.000000-0800,1.1130434782608698
cats_135,climate_1,2035-01-01T01:00:00.000000-0800,-1.2475639552207018e-15
cats_136,climate_1,2035-01-01T01:00:00.000000-0800,462.0
cats_137,climate_1,2035-01-01T01:00:00.000000-0800,0.0
