generator,scenario,timepoint,DispatchGen_MW
cats_1113,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1114,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1115,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1116,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1117,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1118,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1119,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1120,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1121,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1122,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1123,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1124,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1125,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1126,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1127,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1128,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1129,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1130,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1131,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1132,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1133,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1134,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1135,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1136,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1137,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1138,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1139,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1140,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1141,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1142,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1143,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1144,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1145,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1146,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1147,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1148,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1149,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1150,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1151,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1152,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1153,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1154,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1155,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1156,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1157,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1158,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1159,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1160,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1161,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1162,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1163,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1164,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1165,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1166,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1167,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1168,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1169,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1170,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1171,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1172,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1173,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1174,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1175,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1176,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1177,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1178,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1179,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1180,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1181,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1182,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1183,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1184,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1185,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1186,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1187,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1188,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1189,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1190,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1191,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1192,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1193,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1194,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1195,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1196,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1197,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1198,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1199,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1200,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1201,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1202,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1203,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1204,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1205,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1206,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1207,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1208,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1209,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1210,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1211,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1212,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1213,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1214,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1215,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1216,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1217,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1218,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1219,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1220,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1221,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1222,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1223,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1224,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1225,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1226,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1227,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1228,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1229,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1230,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1231,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1232,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1233,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1234,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1235,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1236,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1237,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1238,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1239,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1240,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1241,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1242,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1243,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1244,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1245,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1246,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1247,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1248,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1249,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1250,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1251,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1252,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1253,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1254,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1255,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1256,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1257,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1258,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1259,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1260,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1261,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1262,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1263,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1264,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1265,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1266,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1267,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1268,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1269,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1270,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1271,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1272,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1273,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1274,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1275,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1276,climate_1,2035-01-01T00:00:00.000000-0800,0.0
