generator,timepoint,DispatchGen_MW
cats_177,2035-01-01T00:00:00.000000-0800,0.0
cats_178,2035-01-01T00:00:00.000000-0800,0.0
cats_179,2035-01-01T00:00:00.000000-0800,19.2
cats_180,2035-01-01T00:00:00.000000-0800,2.2045771750928047
cats_181,2035-01-01T00:00:00.000000-0800,0.0
cats_182,2035-01-01T00:00:00.000000-0800,0.0
cats_183,2035-01-01T00:00:00.000000-0800,0.0
cats_184,2035-01-01T00:00:00.000000-0800,0.0
cats_185,2035-01-01T00:00:00.000000-0800,0.0
cats_186,2035-01-01T00:00:00.000000-0800,0.0
cats_187,2035-01-01T00:00:00.000000-0800,0.0
cats_188,2035-01-01T00:00:00.000000-0800,82.30000000000001
cats_189,2035-01-01T00:00:00.000000-0800,13.6
cats_190,2035-01-01T00:00:00.000000-0800,11.500000000000002
cats_191,2035-01-01T00:00:00.000000-0800,0.0
cats_192,2035-01-01T00:00:00.000000-0800,0.0
cats_193,2035-01-01T00:00:00.000000-0800,0.0
cats_194,2035-01-01T00:00:00.000000-0800,0.0
cats_195,2035-01-01T00:00:00.000000-0800,0.0
cats_196,2035-01-01T00:00:00.000000-0800,0.0
cats_197,2035-01-01T00:00:00.000000-0800,0.0
cats_198,2035-01-01T00:00:00.000000-0800,0.0
cats_199,2035-01-01T00:00:00.000000-0800,0.0
cats_200,2035-01-01T00:00:00.000000-0800,0.0
cats_201,2035-01-01T00:00:00.000000-0800,0.0
cats_202,2035-01-01T00:00:00.000000-0800,0.0
cats_203,2035-01-01T00:00:00.000000-0800,0.0
cats_204,2035-01-01T00:00:00.000000-0800,23.0
cats_205,2035-01-01T00:00:00.000000-0800,2.7819443253045755
cats_206,2035-01-01T00:00:00.000000-0800,23.5
cats_207,2035-01-01T00:00:00.000000-0800,7.3
cats_208,2035-01-01T00:00:00.000000-0800,23.5
cats_209,2035-01-01T00:00:00.000000-0800,7.6
cats_210,2035-01-01T00:00:00.000000-0800,0.0
cats_211,2035-01-01T00:00:00.000000-0800,0.48832839128393657
cats_212,2035-01-01T00:00:00.000000-0800,0.9999999999999999
cats_213,2035-01-01T00:00:00.000000-0800,0.4
cats_214,2035-01-01T00:00:00.000000-0800,1.4
cats_215,2035-01-01T00:00:00.000000-0800,14.5
cats_216,2035-01-01T00:00:00.000000-0800,14.5
cats_217,2035-01-01T00:00:00.000000-0800,14.0
cats_218,2035-01-01T00:00:00.000000-0800,0.0
cats_219,2035-01-01T00:00:00.000000-0800,0.0
cats_220,2035-01-01T00:00:00.000000-0800,0.0
cats_221,2035-01-01T00:00:00.000000-0800,0.0
cats_222,2035-01-01T00:00:00.000000-0800,0.0
cats_223,2035-01-01T00:00:00.000000-0800,0.0
cats_224,2035-01-01T00:00:00.000000-0800,0.0
cats_225,2035-01-01T00:00:00.000000-0800,0.0
cats_226,2035-01-01T00:00:00.000000-0800,0.0
cats_227,2035-01-01T00:00:00.000000-0800,0.0
cats_228,2035-01-01T00:00:00.000000-0800,0.0
cats_229,2035-01-01T00:00:00.000000-0800,0.0
cats_230,2035-01-01T00:00:00.000000-0800,0.0
cats_231,2035-01-01T00:00:00.000000-0800,0.0
cats_232,2035-01-01T00:00:00.000000-0800,0.0
cats_233,2035-01-01T00:00:00.000000-0800,0.0
cats_234,2035-01-01T00:00:00.000000-0800,0.0
cats_235,2035-01-01T00:00:00.000000-0800,0.0
cats_236,2035-01-01T00:00:00.000000-0800,0.0
cats_237,2035-01-01T00:00:00.000000-0800,0.0
cats_238,2035-01-01T00:00:00.000000-0800,0.0
cats_239,2035-01-01T00:00:00.000000-0800,0.0
cats_240,2035-01-01T00:00:00.000000-0800,24.4
cats_241,2035-01-01T00:00:00.000000-0800,24.4
cats_242,2035-01-01T00:00:00.000000-0800,0.0
cats_243,2035-01-01T00:00:00.000000-0800,0.0
cats_244,2035-01-01T00:00:00.000000-0800,0.0
cats_245,2035-01-01T00:00:00.000000-0800,0.0
cats_246,2035-01-01T00:00:00.000000-0800,0.0
cats_247,2035-01-01T00:00:00.000000-0800,0.0
cats_248,2035-01-01T00:00:00.000000-0800,0.0
cats_249,2035-01-01T00:00:00.000000-0800,0.0
cats_250,2035-01-01T00:00:00.000000-0800,0.0
cats_251,2035-01-01T00:00:00.000000-0800,0.0
