bus,bus_type,unused_node,voltage_kV
400,PQ,FALSE,66
401,PV,FALSE,66
402,PQ,FALSE,66
403,PQ,FALSE,66
404,PQ,FALSE,66
405,PQ,FALSE,66
406,PQ,FALSE,66
407,PV,FALSE,66
408,PQ,FALSE,66
409,PQ,FALSE,66
410,PQ,FALSE,66
411,PQ,FALSE,66
412,PQ,FALSE,66
413,PV,FALSE,66
414,PQ,FALSE,66
415,PQ,FALSE,66
416,PQ,FALSE,66
417,PQ,FALSE,66
418,PQ,FALSE,66
419,PQ,FALSE,66
420,PV,FALSE,66
421,PQ,FALSE,66
422,PQ,FALSE,66
423,PQ,FALSE,66
424,PQ,FALSE,66
425,PQ,FALSE,66
426,PV,FALSE,66
427,PQ,FALSE,66
428,PQ,FALSE,66
429,PQ,FALSE,66
430,PQ,FALSE,66
431,PQ,FALSE,66
432,PQ,FALSE,66
433,PQ,FALSE,66
434,PQ,FALSE,66
435,PQ,FALSE,66
436,PQ,FALSE,66
437,PQ,FALSE,66
438,PQ,FALSE,66
439,PQ,FALSE,66
440,PQ,FALSE,66
441,PQ,FALSE,66
442,PQ,FALSE,66
443,PQ,FALSE,66
444,PQ,FALSE,230
445,PQ,FALSE,66
446,PV,FALSE,66
447,PQ,FALSE,66
448,PV,FALSE,66
449,PV,FALSE,66
450,PQ,FALSE,66
451,PQ,FALSE,66
452,PV,FALSE,66
453,PQ,FALSE,66
454,PQ,FALSE,66
455,PQ,FALSE,66
456,PV,FALSE,66
457,PQ,FALSE,66
458,PV,FALSE,66
459,PQ,FALSE,66
460,PQ,FALSE,66
461,PV,FALSE,66
462,PQ,FALSE,66
463,PQ,FALSE,66
464,PQ,FALSE,66
465,PV,FALSE,66
466,PQ,FALSE,66
467,PV,FALSE,66
468,PV,FALSE,66
469,PQ,FALSE,66
470,PQ,FALSE,66
471,PV,FALSE,66
472,PQ,FALSE,66
473,PQ,FALSE,66
474,PQ,FALSE,66
475,PV,FALSE,66
476,PQ,FALSE,66
477,PQ,FALSE,66
478,PV,FALSE,66
479,PQ,FALSE,66
480,PQ,FALSE,66
481,PV,FALSE,66
482,PQ,FALSE,66
483,PV,FALSE,66
484,PQ,FALSE,66
485,PQ,FALSE,66
486,PQ,FALSE,66
487,PV,FALSE,230
488,PQ,FALSE,66
489,PQ,FALSE,66
490,PQ,FALSE,66
491,PV,FALSE,66
492,PV,FALSE,66
493,PQ,FALSE,66
494,PQ,FALSE,66
495,PQ,FALSE,66
496,PQ,FALSE,66
497,PQ,FALSE,66
498,PQ,FALSE,66
499,PQ,FALSE,66
500,PQ,FALSE,66
501,PQ,FALSE,66
502,PQ,FALSE,66
503,PV,FALSE,66
504,PQ,FALSE,66
505,PQ,FALSE,66
506,PQ,FALSE,66
507,PQ,FALSE,66
508,PQ,FALSE,66
509,PQ,FALSE,66
510,PQ,FALSE,66
511,PQ,FALSE,66
512,PQ,FALSE,66
513,PQ,FALSE,66
514,PQ,FALSE,66
515,PQ,FALSE,66
516,PQ,FALSE,66
517,PQ,FALSE,66
518,PQ,FALSE,66
519,PV,FALSE,66
520,PQ,FALSE,66
521,PQ,FALSE,66
522,PQ,FALSE,66
523,PV,FALSE,66
524,PQ,FALSE,66
525,PV,FALSE,66
526,PQ,FALSE,66
527,PQ,FALSE,66
528,PQ,FALSE,66
529,PV,FALSE,66
530,PQ,FALSE,66
531,PQ,FALSE,66
532,PQ,FALSE,66
533,PQ,FALSE,66
534,PQ,FALSE,66
535,PV,FALSE,66
536,PQ,FALSE,66
537,PQ,FALSE,66
538,PQ,FALSE,66
539,PV,FALSE,66
540,PQ,FALSE,66
541,PQ,FALSE,66
542,PQ,FALSE,66
543,PV,FALSE,66
544,PQ,FALSE,66
545,PV,FALSE,66
546,PQ,FALSE,66
547,PQ,FALSE,66
548,PQ,FALSE,66
549,PQ,FALSE,66
550,PQ,FALSE,66
551,PQ,FALSE,66
552,PV,FALSE,66
553,PQ,FALSE,66
554,PV,FALSE,66
555,PQ,FALSE,66
556,PQ,FALSE,66
557,PV,FALSE,230
558,PQ,FALSE,66
559,PV,FALSE,66
560,PQ,FALSE,66
561,PQ,FALSE,66
562,PV,FALSE,66
563,PQ,FALSE,66
564,PQ,FALSE,66
565,PV,FALSE,66
566,PQ,FALSE,66
567,PQ,FALSE,115
568,PQ,FALSE,66
569,PQ,FALSE,115
570,PQ,FALSE,115
571,PQ,FALSE,66
572,PQ,FALSE,230
573,PV,FALSE,66
574,PQ,FALSE,115
575,PQ,FALSE,115
576,PV,FALSE,115
577,PV,FALSE,66
578,PQ,FALSE,115
579,PQ,FALSE,66
580,PQ,FALSE,66
581,PQ,FALSE,115
582,PV,FALSE,66
583,PQ,FALSE,66
584,PQ,FALSE,115
585,PQ,FALSE,66
586,PQ,FALSE,66
587,PQ,FALSE,66
588,PQ,FALSE,66
589,PQ,FALSE,66
590,PQ,FALSE,66
591,PQ,FALSE,66
592,PQ,FALSE,66
593,PQ,FALSE,66
594,PQ,FALSE,66
595,PQ,FALSE,66
596,PQ,FALSE,66
597,PQ,FALSE,66
598,PQ,FALSE,66
599,PQ,FALSE,66
600,PQ,FALSE,115
601,PQ,FALSE,66
602,PQ,FALSE,115
603,PV,FALSE,230
604,PQ,FALSE,66
605,PQ,FALSE,115
606,PQ,FALSE,66
607,PV,FALSE,66
608,PQ,FALSE,115
609,PQ,FALSE,115
610,PV,FALSE,230
611,PQ,FALSE,66
612,PQ,FALSE,66
613,PQ,FALSE,115
614,PQ,FALSE,66
615,PV,FALSE,66
616,PQ,FALSE,66
617,PQ,FALSE,66
618,PV,FALSE,66
619,PQ,FALSE,115
620,PQ,FALSE,66
621,PQ,FALSE,66
622,PQ,FALSE,66
623,PQ,FALSE,115
624,PQ,FALSE,66
625,PQ,FALSE,66
626,PQ,FALSE,66
627,PQ,FALSE,66
628,PQ,FALSE,115
629,PQ,FALSE,115
630,PQ,FALSE,115
631,PV,FALSE,66
632,PQ,FALSE,66
633,PV,FALSE,66
634,PV,FALSE,66
635,PQ,FALSE,66
636,PV,FALSE,115
637,PQ,FALSE,66
638,PV,FALSE,66
639,PQ,FALSE,66
640,PQ,FALSE,66
641,PQ,FALSE,66
642,PQ,FALSE,66
643,PQ,FALSE,66
644,PQ,FALSE,66
645,PQ,FALSE,115
646,PQ,FALSE,66
647,PQ,FALSE,66
648,PQ,FALSE,66
649,PV,FALSE,66
650,PQ,FALSE,66
651,PQ,FALSE,66
652,PQ,FALSE,115
653,PV,FALSE,66
654,PQ,FALSE,66
655,PQ,FALSE,66
656,PQ,FALSE,66
657,PQ,FALSE,66
658,PQ,FALSE,66
659,PV,FALSE,115
660,PQ,FALSE,115
661,PQ,FALSE,66
662,PV,FALSE,115
663,PQ,FALSE,66
664,PQ,FALSE,66
665,PQ,FALSE,66
666,PQ,FALSE,66
667,PQ,FALSE,66
668,PV,FALSE,66
669,PQ,FALSE,66
670,PQ,FALSE,66
671,PQ,FALSE,66
672,PQ,FALSE,66
673,PQ,FALSE,66
674,PQ,FALSE,66
675,PQ,FALSE,66
676,PV,FALSE,66
677,PV,FALSE,66
678,PQ,FALSE,66
679,PQ,FALSE,66
680,PQ,FALSE,66
681,PQ,FALSE,66
682,PQ,FALSE,66
683,PQ,FALSE,66
684,PQ,FALSE,66
685,PQ,FALSE,66
686,PV,FALSE,66
687,PQ,FALSE,66
688,PQ,FALSE,66
689,PQ,FALSE,66
690,PQ,FALSE,66
691,PQ,FALSE,66
692,PV,FALSE,66
693,PQ,FALSE,66
694,PQ,FALSE,66
695,PQ,FALSE,66
696,PQ,FALSE,66
697,PQ,FALSE,66
698,PV,FALSE,66
699,PV,FALSE,66
700,PV,FALSE,66
701,PQ,FALSE,66
702,PQ,FALSE,66
703,PQ,FALSE,66
704,PQ,FALSE,66
705,PQ,FALSE,66
706,PV,FALSE,66
707,PV,FALSE,66
708,PQ,FALSE,66
709,PQ,FALSE,66
710,PQ,FALSE,66
711,PQ,FALSE,66
712,PQ,FALSE,66
713,PV,FALSE,66
714,PV,FALSE,66
715,PV,FALSE,66
716,PQ,FALSE,66
717,PQ,FALSE,66
718,PQ,FALSE,66
719,PQ,FALSE,66
720,PQ,FALSE,66
721,PQ,FALSE,66
722,PQ,FALSE,66
723,PQ,FALSE,66
724,PQ,FALSE,66
725,PQ,FALSE,66
726,PQ,FALSE,66
727,PQ,FALSE,66
728,PQ,FALSE,66
729,PQ,FALSE,66
730,PQ,FALSE,66
731,PQ,FALSE,115
732,PQ,FALSE,115
733,PQ,FALSE,115
734,PQ,FALSE,115
735,PQ,FALSE,66
736,PQ,FALSE,66
737,PQ,FALSE,66
738,PQ,FALSE,66
739,PQ,FALSE,66
740,PQ,FALSE,66
741,PQ,FALSE,66
742,PQ,FALSE,66
743,PQ,FALSE,115
744,PV,FALSE,66
745,PV,FALSE,115
746,PV,FALSE,66
747,PQ,FALSE,66
748,PQ,FALSE,66
749,PV,FALSE,66
750,PQ,FALSE,115
751,PV,FALSE,66
752,PQ,FALSE,66
753,PQ,FALSE,66
754,PQ,FALSE,66
755,PQ,FALSE,66
756,PQ,FALSE,66
757,PQ,FALSE,66
758,PQ,FALSE,66
759,PQ,FALSE,66
760,PQ,FALSE,66
761,PQ,FALSE,66
762,PQ,FALSE,66
763,PQ,FALSE,66
764,PQ,FALSE,66
765,PQ,FALSE,66
766,PQ,FALSE,66
767,PQ,FALSE,66
768,PQ,FALSE,66
769,PQ,FALSE,66
770,PQ,FALSE,115
771,PQ,FALSE,115
772,PQ,FALSE,115
773,PQ,FALSE,66
774,PV,FALSE,115
775,PV,FALSE,115
776,PQ,FALSE,115
777,PQ,FALSE,115
778,PQ,FALSE,115
779,PV,FALSE,115
780,PQ,FALSE,230
781,PV,FALSE,66
782,PV,FALSE,115
783,PQ,FALSE,66
784,PQ,FALSE,115
785,PQ,FALSE,115
786,PQ,FALSE,66
787,PQ,FALSE,115
788,PQ,FALSE,66
789,PQ,FALSE,115
790,PQ,FALSE,66
791,PQ,FALSE,66
792,PQ,FALSE,115
793,PQ,FALSE,115
794,PQ,FALSE,115
795,PQ,FALSE,66
796,PV,FALSE,115
797,PQ,FALSE,66
798,PQ,FALSE,115
799,PV,FALSE,66
800,PQ,FALSE,66
801,PQ,FALSE,115
802,PQ,FALSE,115
803,PV,FALSE,115
804,PQ,FALSE,115
805,PQ,FALSE,115
806,PV,FALSE,115
807,PQ,FALSE,115
808,PQ,FALSE,66
809,PQ,FALSE,115
810,PQ,FALSE,115
811,PQ,FALSE,115
812,PV,FALSE,115
813,PQ,FALSE,115
814,PV,FALSE,115
815,PQ,FALSE,115
816,PQ,FALSE,115
817,PQ,FALSE,66
818,PV,FALSE,66
819,PQ,FALSE,66
820,PQ,FALSE,66
821,PQ,FALSE,66
822,PQ,FALSE,66
823,PQ,FALSE,66
824,PQ,FALSE,66
825,PQ,FALSE,66
826,PQ,FALSE,66
827,PQ,FALSE,66
828,PQ,FALSE,66
829,PQ,FALSE,66
830,PQ,FALSE,66
831,PQ,FALSE,66
832,PQ,FALSE,66
