name,kv,type,lat,lon,slack
427,66,substation,-1,-1,0
428,66,substation,-1,-1,0
429,66,substation,-1,-1,0
430,66,substation,-1,-1,0
431,66,substation,-1,-1,0
432,66,substation,-1,-1,0
433,66,substation,-1,-1,0
434,66,substation,-1,-1,0
435,66,substation,-1,-1,0
436,66,substation,-1,-1,0
437,66,substation,-1,-1,0
438,66,substation,-1,-1,0
439,66,substation,-1,-1,0
440,66,substation,-1,-1,0
441,66,substation,-1,-1,0
442,66,substation,-1,-1,0
443,66,substation,-1,-1,0
444,230,substation,-1,-1,0
445,66,substation,-1,-1,0
446,66,substation,-1,-1,0
447,66,substation,-1,-1,0
448,66,substation,-1,-1,0
449,66,substation,-1,-1,0
450,66,substation,-1,-1,0
451,66,substation,-1,-1,0
452,66,substation,-1,-1,0
453,66,substation,-1,-1,0
454,66,substation,-1,-1,0
455,66,substation,-1,-1,0
456,66,substation,-1,-1,0
457,66,substation,-1,-1,0
458,66,substation,-1,-1,0
459,66,substation,-1,-1,0
460,66,substation,-1,-1,0
461,66,substation,-1,-1,0
462,66,substation,-1,-1,0
463,66,substation,-1,-1,0
464,66,substation,-1,-1,0
465,66,substation,-1,-1,0
466,66,substation,-1,-1,0
467,66,substation,-1,-1,0
468,66,substation,-1,-1,0
469,66,substation,-1,-1,0
470,66,substation,-1,-1,0
471,66,substation,-1,-1,0
472,66,substation,-1,-1,0
473,66,substation,-1,-1,0
474,66,substation,-1,-1,0
475,66,substation,-1,-1,0
476,66,substation,-1,-1,0
477,66,substation,-1,-1,0
478,66,substation,-1,-1,0
479,66,substation,-1,-1,0
480,66,substation,-1,-1,0
481,66,substation,-1,-1,0
482,66,substation,-1,-1,0
483,66,substation,-1,-1,0
484,66,substation,-1,-1,0
485,66,substation,-1,-1,0
486,66,substation,-1,-1,0
487,230,substation,-1,-1,0
488,66,substation,-1,-1,0
489,66,substation,-1,-1,0
490,66,substation,-1,-1,0
491,66,substation,-1,-1,0
492,66,substation,-1,-1,0
493,66,substation,-1,-1,0
494,66,substation,-1,-1,0
495,66,substation,-1,-1,0
496,66,substation,-1,-1,0
497,66,substation,-1,-1,0
498,66,substation,-1,-1,0
499,66,substation,-1,-1,0
500,66,substation,-1,-1,0
501,66,substation,-1,-1,0
502,66,substation,-1,-1,0
503,66,substation,-1,-1,0
504,66,substation,-1,-1,0
505,66,substation,-1,-1,0
506,66,substation,-1,-1,0
507,66,substation,-1,-1,0
508,66,substation,-1,-1,0
509,66,substation,-1,-1,0
510,66,substation,-1,-1,0
511,66,substation,-1,-1,0
512,66,substation,-1,-1,0
513,66,substation,-1,-1,0
514,66,substation,-1,-1,0
515,66,substation,-1,-1,0
516,66,substation,-1,-1,0
517,66,substation,-1,-1,0
518,66,substation,-1,-1,0
519,66,substation,-1,-1,0
520,66,substation,-1,-1,0
521,66,substation,-1,-1,0
522,66,substation,-1,-1,0
523,66,substation,-1,-1,0
524,66,substation,-1,-1,0
525,66,substation,-1,-1,0
526,66,substation,-1,-1,0
527,66,substation,-1,-1,0
528,66,substation,-1,-1,0
529,66,substation,-1,-1,0
530,66,substation,-1,-1,0
531,66,substation,-1,-1,0
532,66,substation,-1,-1,0
533,66,substation,-1,-1,0
534,66,substation,-1,-1,0
535,66,substation,-1,-1,0
536,66,substation,-1,-1,0
537,66,substation,-1,-1,0
538,66,substation,-1,-1,0
539,66,substation,-1,-1,0
540,66,substation,-1,-1,0
541,66,substation,-1,-1,0
542,66,substation,-1,-1,0
543,66,substation,-1,-1,0
544,66,substation,-1,-1,0
545,66,substation,-1,-1,0
546,66,substation,-1,-1,0
547,66,substation,-1,-1,0
548,66,substation,-1,-1,0
549,66,substation,-1,-1,0
550,66,substation,-1,-1,0
551,66,substation,-1,-1,0
552,66,substation,-1,-1,0
553,66,substation,-1,-1,0
554,66,substation,-1,-1,0
555,66,substation,-1,-1,0
556,66,substation,-1,-1,0
557,230,substation,-1,-1,0
558,66,substation,-1,-1,0
559,66,substation,-1,-1,0
560,66,substation,-1,-1,0
561,66,substation,-1,-1,0
562,66,substation,-1,-1,0
563,66,substation,-1,-1,0
564,66,substation,-1,-1,0
565,66,substation,-1,-1,0
566,66,substation,-1,-1,0
567,115,substation,-1,-1,0
568,66,substation,-1,-1,0
569,115,substation,-1,-1,0
570,115,substation,-1,-1,0
571,66,substation,-1,-1,0
572,230,substation,-1,-1,0
573,66,substation,-1,-1,0
574,115,substation,-1,-1,0
575,115,substation,-1,-1,0
576,115,substation,-1,-1,0
577,66,substation,-1,-1,0
578,115,substation,-1,-1,0
579,66,substation,-1,-1,0
580,66,substation,-1,-1,0
581,115,substation,-1,-1,0
582,66,substation,-1,-1,0
583,66,substation,-1,-1,0
584,115,substation,-1,-1,0
585,66,substation,-1,-1,0
586,66,substation,-1,-1,0
587,66,substation,-1,-1,0
588,66,substation,-1,-1,0
589,66,substation,-1,-1,0
590,66,substation,-1,-1,0
591,66,substation,-1,-1,0
592,66,substation,-1,-1,0
593,66,substation,-1,-1,0
594,66,substation,-1,-1,0
595,66,substation,-1,-1,0
596,66,substation,-1,-1,0
597,66,substation,-1,-1,0
598,66,substation,-1,-1,0
599,66,substation,-1,-1,0
600,115,substation,-1,-1,0
601,66,substation,-1,-1,0
602,115,substation,-1,-1,0
603,230,substation,-1,-1,0
604,66,substation,-1,-1,0
605,115,substation,-1,-1,0
606,66,substation,-1,-1,0
607,66,substation,-1,-1,0
608,115,substation,-1,-1,0
609,115,substation,-1,-1,0
610,230,substation,-1,-1,0
611,66,substation,-1,-1,0
612,66,substation,-1,-1,0
613,115,substation,-1,-1,0
614,66,substation,-1,-1,0
615,66,substation,-1,-1,0
616,66,substation,-1,-1,0
617,66,substation,-1,-1,0
618,66,substation,-1,-1,0
619,115,substation,-1,-1,0
620,66,substation,-1,-1,0
621,66,substation,-1,-1,0
622,66,substation,-1,-1,0
623,115,substation,-1,-1,0
624,66,substation,-1,-1,0
625,66,substation,-1,-1,0
626,66,substation,-1,-1,0
627,66,substation,-1,-1,0
628,115,substation,-1,-1,0
629,115,substation,-1,-1,0
630,115,substation,-1,-1,0
631,66,substation,-1,-1,0
632,66,substation,-1,-1,0
633,66,substation,-1,-1,0
634,66,substation,-1,-1,0
635,66,substation,-1,-1,0
636,115,substation,-1,-1,0
637,66,substation,-1,-1,0
638,66,substation,-1,-1,0
639,66,substation,-1,-1,0
640,66,substation,-1,-1,0
641,66,substation,-1,-1,0
642,66,substation,-1,-1,0
643,66,substation,-1,-1,0
644,66,substation,-1,-1,0
645,115,substation,-1,-1,0
646,66,substation,-1,-1,0
647,66,substation,-1,-1,0
648,66,substation,-1,-1,0
649,66,substation,-1,-1,0
650,66,substation,-1,-1,0
651,66,substation,-1,-1,0
652,115,substation,-1,-1,0
653,66,substation,-1,-1,0
654,66,substation,-1,-1,0
655,66,substation,-1,-1,0
656,66,substation,-1,-1,0
657,66,substation,-1,-1,0
658,66,substation,-1,-1,0
659,115,substation,-1,-1,0
660,115,substation,-1,-1,0
661,66,substation,-1,-1,0
662,115,substation,-1,-1,0
663,66,substation,-1,-1,0
664,66,substation,-1,-1,0
665,66,substation,-1,-1,0
666,66,substation,-1,-1,0
667,66,substation,-1,-1,0
668,66,substation,-1,-1,0
669,66,substation,-1,-1,0
670,66,substation,-1,-1,0
671,66,substation,-1,-1,0
672,66,substation,-1,-1,0
673,66,substation,-1,-1,0
674,66,substation,-1,-1,0
675,66,substation,-1,-1,0
676,66,substation,-1,-1,0
677,66,substation,-1,-1,0
678,66,substation,-1,-1,0
679,66,substation,-1,-1,0
680,66,substation,-1,-1,0
681,66,substation,-1,-1,0
682,66,substation,-1,-1,0
683,66,substation,-1,-1,0
684,66,substation,-1,-1,0
685,66,substation,-1,-1,0
686,66,substation,-1,-1,0
687,66,substation,-1,-1,0
688,66,substation,-1,-1,0
689,66,substation,-1,-1,0
690,66,substation,-1,-1,0
691,66,substation,-1,-1,0
692,66,substation,-1,-1,0
693,66,substation,-1,-1,0
694,66,substation,-1,-1,0
695,66,substation,-1,-1,0
696,66,substation,-1,-1,0
697,66,substation,-1,-1,0
698,66,substation,-1,-1,0
699,66,substation,-1,-1,0
700,66,substation,-1,-1,0
701,66,substation,-1,-1,0
702,66,substation,-1,-1,0
703,66,substation,-1,-1,0
704,66,substation,-1,-1,0
705,66,substation,-1,-1,0
706,66,substation,-1,-1,0
707,66,substation,-1,-1,0
708,66,substation,-1,-1,0
709,66,substation,-1,-1,0
710,66,substation,-1,-1,0
711,66,substation,-1,-1,0
712,66,substation,-1,-1,0
713,66,substation,-1,-1,0
714,66,substation,-1,-1,0
715,66,substation,-1,-1,0
716,66,substation,-1,-1,0
717,66,substation,-1,-1,0
718,66,substation,-1,-1,0
719,66,substation,-1,-1,0
720,66,substation,-1,-1,0
721,66,substation,-1,-1,0
722,66,substation,-1,-1,0
723,66,substation,-1,-1,0
724,66,substation,-1,-1,0
725,66,substation,-1,-1,0
726,66,substation,-1,-1,0
727,66,substation,-1,-1,0
728,66,substation,-1,-1,0
729,66,substation,-1,-1,0
730,66,substation,-1,-1,0
731,115,substation,-1,-1,0
732,115,substation,-1,-1,0
733,115,substation,-1,-1,0
734,115,substation,-1,-1,0
735,66,substation,-1,-1,0
736,66,substation,-1,-1,0
737,66,substation,-1,-1,0
738,66,substation,-1,-1,0
739,66,substation,-1,-1,0
740,66,substation,-1,-1,0
741,66,substation,-1,-1,0
742,66,substation,-1,-1,0
743,115,substation,-1,-1,0
744,66,substation,-1,-1,0
745,115,substation,-1,-1,0
746,66,substation,-1,-1,0
747,66,substation,-1,-1,0
748,66,substation,-1,-1,0
749,66,substation,-1,-1,0
750,115,substation,-1,-1,0
751,66,substation,-1,-1,0
752,66,substation,-1,-1,0
753,66,substation,-1,-1,0
754,66,substation,-1,-1,0
755,66,substation,-1,-1,0
756,66,substation,-1,-1,0
757,66,substation,-1,-1,0
758,66,substation,-1,-1,0
759,66,substation,-1,-1,0
760,66,substation,-1,-1,0
761,66,substation,-1,-1,0
762,66,substation,-1,-1,0
763,66,substation,-1,-1,0
764,66,substation,-1,-1,0
765,66,substation,-1,-1,0
766,66,substation,-1,-1,0
767,66,substation,-1,-1,0
768,66,substation,-1,-1,0
769,66,substation,-1,-1,0
770,115,substation,-1,-1,0
771,115,substation,-1,-1,0
772,115,substation,-1,-1,0
773,66,substation,-1,-1,0
774,115,substation,-1,-1,0
775,115,substation,-1,-1,0
776,115,substation,-1,-1,0
777,115,substation,-1,-1,0
