gen_name,sc_name,tp_name,capacity_factor
721,sc1,1,1
722,sc1,1,1
723,sc1,1,1
724,sc1,1,1
725,sc1,1,1
726,sc1,1,1
727,sc1,1,1
728,sc1,1,1
729,sc1,1,1
730,sc1,1,1
731,sc1,1,1
732,sc1,1,1
733,sc1,1,1
734,sc1,1,1
735,sc1,1,1
736,sc1,1,1
737,sc1,1,1
738,sc1,1,1
739,sc1,1,1
740,sc1,1,1
741,sc1,1,1
742,sc1,1,1
743,sc1,1,1
744,sc1,1,1
745,sc1,1,1
746,sc1,1,1
747,sc1,1,1
748,sc1,1,1
749,sc1,1,1
750,sc1,1,1
751,sc1,1,1
752,sc1,1,1
753,sc1,1,1
754,sc1,1,1
755,sc1,1,1
756,sc1,1,1
757,sc1,1,1
758,sc1,1,1
759,sc1,1,1
760,sc1,1,1
761,sc1,1,1
762,sc1,1,1
763,sc1,1,1
764,sc1,1,1
765,sc1,1,1
766,sc1,1,1
767,sc1,1,1
768,sc1,1,1
769,sc1,1,1
770,sc1,1,1
771,sc1,1,1
772,sc1,1,1
773,sc1,1,1
774,sc1,1,1
775,sc1,1,1
776,sc1,1,1
777,sc1,1,1
778,sc1,1,1
779,sc1,1,1
780,sc1,1,1
781,sc1,1,1
782,sc1,1,1
783,sc1,1,1
784,sc1,1,1
785,sc1,1,1
786,sc1,1,1
787,sc1,1,1
788,sc1,1,1
789,sc1,1,1
790,sc1,1,1
791,sc1,1,1
792,sc1,1,1
793,sc1,1,1
794,sc1,1,1
795,sc1,1,1
796,sc1,1,1
797,sc1,1,1
798,sc1,1,1
799,sc1,1,1
800,sc1,1,1
801,sc1,1,1
802,sc1,1,1
803,sc1,1,1
804,sc1,1,1
805,sc1,1,1
806,sc1,1,1
807,sc1,1,1
808,sc1,1,1
809,sc1,1,1
810,sc1,1,1
811,sc1,1,1
812,sc1,1,1
813,sc1,1,1
814,sc1,1,1
815,sc1,1,1
816,sc1,1,1
817,sc1,1,1
818,sc1,1,1
819,sc1,1,1
820,sc1,1,1
821,sc1,1,1
822,sc1,1,1
823,sc1,1,1
824,sc1,1,1
825,sc1,1,1
826,sc1,1,1
827,sc1,1,1
828,sc1,1,1
829,sc1,1,1
830,sc1,1,1
831,sc1,1,1
832,sc1,1,1
833,sc1,1,1
834,sc1,1,1
835,sc1,1,1
836,sc1,1,1
837,sc1,1,1
838,sc1,1,1
839,sc1,1,1
840,sc1,1,1
841,sc1,1,1
842,sc1,1,1
843,sc1,1,1
844,sc1,1,1
845,sc1,1,1
846,sc1,1,1
